Kingdom	Supergroup	Phylum	Class	Order	Family	Genus	Species
sq4852	Eukaryota	Alveolata	Ciliophora	Spirotrichea	Strombidiida	Strombidiidae_G	Strombidiidae_G_X	Strombidiidae_G_X_sp.
sq4853	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	NA	NA
sq4854	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_nei/rotundata
sq4855	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp.
sq4856	Eukaryota	Rhizaria	Radiolaria	Acantharea	Arthracanthida-Symphyacanthida	Arthracanthida-Symphyacanthida_X	NA	NA
sq4857	Eukaryota	Rhizaria	Cercozoa	Filosa-Thecofilosea	Filosa-Thecofilosea_X	Filosa-Thecofilosea_XX	Filosa-Thecofilosea_XXX	Filosa-Thecofilosea_XXX_sp.
sq4858	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-5	Dino-Group-II-Clade-5_X	Dino-Group-II-Clade-5_X_sp.
sq4859	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-5	Dino-Group-I-Clade-5_X	Dino-Group-I-Clade-5_X_sp.
sq4860	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Stauroneis	Stauroneis_kriegeri
sq4861	Eukaryota	Rhizaria	Cercozoa	Filosa-Thecofilosea	Ebriida	TAGIRI1-lineage	TAGIRI1-lineage_X	TAGIRI1-lineage_X_sp.
sq4862	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-10-and-11	Dino-Group-II-Clade-10-and-11_X	Dino-Group-II-Clade-10-and-11_X_sp.
sq4863	Eukaryota	Opisthokonta	Metazoa	Craniata	Craniata_X	Mammalia	Homo	Homo_sapiens
sq4864	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II_X	Dino-Group-II_XX	Dino-Group-II_XX_sp.
sq4865	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-10-and-11	Dino-Group-II-Clade-10-and-11_X	Dino-Group-II-Clade-10-and-11_X_sp.
sq4866	Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	OLIGO5	OLIGO5_X	OLIGO5_XX	OLIGO5_XX_sp.
sq4867	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_heterogrammum
sq4868	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
sq4869	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Pyrophacaceae	Fragilidium	Fragilidium_subglobosum
sq4870	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	NA
sq4871	Eukaryota	Alveolata	Ciliophora	Nassophorea	Nassophorea_X	Discotrichidae	NASSO_1	NASSO_1_sp.
sq4872	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp.
sq4873	Eukaryota	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
sq4874	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Coccolithales	Coccolithaceae	Coccolithus	Coccolithus_braarudii
sq4875	Eukaryota	Rhizaria	Radiolaria	Acantharea	Acantharea_X	Acantharea_XX	NA	NA
sq4876	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-5	Dino-Group-II-Clade-5_X	Dino-Group-II-Clade-5_X_sp.
sq4877	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastigaceae-B	Dolichomastigaceae-B_sp.
sq4878	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-20	Dino-Group-II-Clade-20_X	Dino-Group-II-Clade-20_X_sp.
sq4879	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	NA
sq4880	Eukaryota	Alveolata	Ciliophora	Phyllopharyngea	NA	NA	NA	NA
sq4881	Eukaryota	Stramenopiles	Ochrophyta	MOCH-4	MOCH-4_X	MOCH-4_XX	MOCH-4_XXX	MOCH-4_XXX_sp.
sq4882	Eukaryota	Rhizaria	Cercozoa	Filosa-Imbricatea	Filosa-Imbricatea_X	Novel-clade-2	Novel-clade-2_X	Novel-clade-2_X_sp.
sq4883	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-F	Paraphysomonas	Paraphysomonas_imperforata
sq4884	Eukaryota	Hacrobia	Picozoa	Picozoa_X	Picozoa_XX	Picozoa_XXX	Picozoa_XXXX	Picozoa_XXXX_sp.
sq4885	Eukaryota	Stramenopiles	Sagenista	MAST-10	MAST-10_X	MAST-10_XX	MAST-10_XXX	MAST-10_XXX_sp.
sq4886	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Labyrinthulales	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.
sq4887	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_heterogrammum
sq4888	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-38	Dino-Group-II-Clade-38_X	Dino-Group-II-Clade-38_X_sp.
sq4889	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-55	Dino-Group-II-Clade-55_X	Dino-Group-II-Clade-55_X_sp.
sq4890	Eukaryota	Opisthokonta	Metazoa	Craniata	Craniata_X	Mammalia	Homo	Homo_sapiens
sq4891	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
sq4892	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Thraustochytriales	Thraustochytriaceae	Amphifilidae	Amphifilidae_sp.
sq4893	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Labyrinthulales	Labyrinthulaceae	Labyrinthulaceae_X	Labyrinthulaceae_X_sp.
sq4894	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_gelidus
sq4895	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
sq4896	Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	OLIGO5	OLIGO5_X	OLIGO5_XX	OLIGO5_XX_sp.
sq4897	Eukaryota	Stramenopiles	Ochrophyta	Bolidophyceae	Parmales	Parmales_env_2	Parmales_env_2_X	Parmales_env_2_X_sp.
sq4898	Eukaryota	Opisthokonta	Metazoa	Brachiopoda	Brachiopoda_X	Brachiopoda_XX	Phoronis	Phoronis_hippocrepia
sq4899	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Radial-centric-basal-Coscinodiscophyceae	Rhizosolenia	Rhizosolenia_imbricata
sq4900	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-4	Dino-Group-II-Clade-4_X	Dino-Group-II-Clade-4_X_sp.
sq4901	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-1	Dino-Group-II-Clade-1_X	Dino-Group-II-Clade-1_X_sp.
sq4902	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-22	Dino-Group-II-Clade-22_X	Dino-Group-II-Clade-22_X_sp.
sq4903	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Hyphodontia	Hyphodontia_alutaria
sq4904	Eukaryota	Rhizaria	Cercozoa	Filosa-Thecofilosea	Ventricleftida	CCW10-lineage	CCW10-lineage_X	CCW10-lineage_X_sp.
sq4905	Eukaryota	Opisthokonta	Mesomycetozoa	Ichthyosporea	Ichthyosphonida	Pseudoperkinsidae	NA	NA
sq4906	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-15	Dino-Group-II-Clade-15_X	Dino-Group-II-Clade-15_X_sp.
sq4907	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Dolichomastigales	Crustomastigaceae	NA	NA
sq4908	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-5	Dino-Group-I-Clade-5_X	Dino-Group-I-Clade-5_X_sp.
sq4909	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_gracilis
sq4910	Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	OLIGO5	OLIGO5_X	OLIGO5_XX	OLIGO5_XX_sp.
sq4911	Eukaryota	Rhizaria	Radiolaria	Acantharea	Acantharea_X	Acantharea_XX	NA	NA
sq4912	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Labyrinthulales	Labyrinthulaceae	Labyrinthulaceae_X	Labyrinthulaceae_X_sp.
sq4913	Eukaryota	Rhizaria	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Cryothecomonas-lineage	Cryothecomonas	Cryothecomonas_aestivalis
sq4914	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
sq4915	Eukaryota	Rhizaria	Radiolaria	RAD-C	RAD-C_X	RAD-C_XX	RAD-C_XXX	RAD-C_XXX_sp.
sq4916	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	NA	NA	NA
sq4917	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-5	Dino-Group-I-Clade-5_X	Dino-Group-I-Clade-5_X_sp.
sq4918	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-1	Dino-Group-II-Clade-1_X	Dino-Group-II-Clade-1_X_sp.
sq4919	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	Prorocentrum_sp.
sq4920	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa
sq4921	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-14	Dino-Group-II-Clade-14_X	Dino-Group-II-Clade-14_X_sp.
sq4922	Eukaryota	Stramenopiles	Opalozoa	MAST-3	MAST-3A	MAST-3A_X	MAST-3A_XX	MAST-3A_XX_sp.
sq4923	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_similis
sq4924	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA
sq4925	Eukaryota	Rhizaria	Cercozoa	Phaeodarea	Phaeocalpida	Porospathidae	Porospathis	Porospathis_holostoma
sq4926	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_gelidus
sq4927	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-1	Dino-Group-II-Clade-1_X	Dino-Group-II-Clade-1_X_sp.
sq4928	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_gelidus
sq4929	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-III	Dino-Group-III_X	Dino-Group-III_XX	Dino-Group-III_XX_sp.
sq4930	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadales_X	Falcomonas	Falcomonas_daucoides
sq4931	Eukaryota	Alveolata	Ciliophora	Spirotrichea	Strombidiida_F	Strombidiida_F_X	Strombidiida_F_XX	Strombidiida_F_XX_sp.
sq4932	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	NA	NA
sq4933	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_sp.
sq4934	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-12	Dino-Group-II-Clade-12_X	Dino-Group-II-Clade-12_X_sp.
sq4935	Eukaryota	Stramenopiles	Opalozoa	Bicoecea	Anoecales	Cafeteriaceae	Cafeteria	Cafeteria_roenbergensis
sq4936	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-1	Dino-Group-II-Clade-1_X	Dino-Group-II-Clade-1_X_sp.
sq4937	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	NA
sq4938	Eukaryota	Rhizaria	Radiolaria	Acantharea	Acantharea_X	Acantharea_XX	Acantharea_XXX	Acantharea_XXX_sp.
sq4939	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
sq4940	Eukaryota	Stramenopiles	Sagenista	MAST-8	MAST-8E	MAST-8E_X	MAST-8E_XX	MAST-8E_XX_sp.
sq4941	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
sq4942	Eukaryota	Opisthokonta	Metazoa	Bryozoa	Bryozoa_X	Bryozoa_XX	NA	NA
sq4943	Eukaryota	Stramenopiles	Stramenopiles_X	Stramenopiles_XX	Stramenopiles_XXX	Stramenopiles_XXXX	Stramenopiles_XXXXX	Stramenopiles_XXXXX_sp.
sq4944	Eukaryota	Rhizaria	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Protaspa-lineage	Protaspa-lineage_X	Protaspa-lineage_X_sp.
sq4945	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-III	Dino-Group-III_X	Dino-Group-III_XX	Dino-Group-III_XX_sp.
sq4946	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Navicula	Navicula_perminuta
sq4947	Eukaryota	Alveolata	Ciliophora	Spirotrichea	Strombidiida	Strombidiidae_G	Strombidiidae_G_X	Strombidiidae_G_X_sp.
sq4948	Eukaryota	Rhizaria	Radiolaria	Acantharea	Acantharea_X	Acantharea_XX	Acantharea_XXX	Acantharea_XXX_sp.
sq4949	Eukaryota	Hacrobia	Telonemia	Telonemia_X	Telonemia_XX	Telonemia-Group-1	Telonemia-Group-1_X	Telonemia-Group-1_X_sp.
sq4950	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystidae	NA	NA
sq4951	Eukaryota	Stramenopiles	Ochrophyta	Bolidophyceae	Parmales	Parmales_env_2	Parmales_env_2_X	Parmales_env_2_X_sp.
sq4952	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_heterogrammum
sq4953	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_heterogrammum
sq4954	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcales-Clade-A	Prasinococcus	Prasinococcus_capsulatus
sq4955	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-D	Chrysophyceae_Clade-D_X	Chrysophyceae_Clade-D_X_sp.
sq4956	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
sq4957	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-7	Dino-Group-II-Clade-7_X	Dino-Group-II-Clade-7_X_sp.
sq4958	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_gelidus
sq4959	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_gelidus
sq4960	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_socialis
sq4961	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Polykrikos	NA
sq4962	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Temora	Temora_longicornis
sq4963	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Abedinium	Abedinium_dasypus
sq4964	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_triquetra
sq4965	Eukaryota	Rhizaria	Cercozoa	Filosa-Imbricatea	Thaumatomonadida	Thaumatomonadidae	Thaumatomastix	Thaumatomastix_sp.
sq4966	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastigaceae-B	Dolichomastigaceae-B_sp.
sq4967	Eukaryota	Rhizaria	Radiolaria	Acantharea	Arthracanthida-Symphyacanthida	Arthracanthida-Symphyacanthida_X	Arthracanthida-Symphyacanthida_XX	Arthracanthida-Symphyacanthida_XX_sp.
sq4968	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Trametes	Trametes_versicolor
sq4969	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp.
sq4970	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Thraustochytriales	Thraustochytriaceae	Thraustochytriaceae_X	Thraustochytriaceae_X_sp.
sq4971	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-47	Dino-Group-II-Clade-47_X	Dino-Group-II-Clade-47_X_sp.
sq4972	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-42	Dino-Group-II-Clade-42_X	Dino-Group-II-Clade-42_X_sp.
sq4973	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-1	Dino-Group-II-Clade-1_X	Dino-Group-II-Clade-1_X_sp.
sq4974	Eukaryota	Rhizaria	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Cryothecomonas-lineage	Cryothecomonas	Cryothecomonas_aestivalis
sq4975	Eukaryota	Alveolata	Ciliophora	CONThreeP	CONThreeP_X	CONThreeP_XX	Askenasia	Askenasia_sp.
sq4976	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
sq4977	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	Embryophyceae_X	Embryophyceae_XX	Brassica	Brassica_rapa
sq4978	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA
sq4979	Eukaryota	Rhizaria	Cercozoa	Filosa	Filosa_X	Filosa_XX	Discomonas	Discomonas_retusa
sq4980	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-7	Dino-Group-II-Clade-7_X	Dino-Group-II-Clade-7_X_sp.
sq4981	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_gracilis
sq4982	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Thraustochytriales	Thraustochytriaceae	Thraustochytriaceae_X	Thraustochytriaceae_X_sp.
sq4983	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Abedinium	Abedinium_dasypus
sq4984	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	NA	NA
sq4985	Eukaryota	Hacrobia	Haptophyta	Haptophyta_X	Haptophyta_XX	Haptophyta_XXX	Haptophyta_XXXX	Haptophyta_XXXX_sp.
sq4986	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-15	Dino-Group-II-Clade-15_X	Dino-Group-II-Clade-15_X_sp.
sq4987	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Pedinellales	Pseudopedinella	Pseudopedinella_sp.
sq4988	Eukaryota	Alveolata	Dinoflagellata	Dinophyta_X	Dinophyta_XX	Dinophyta_XXX	Dinophyta_XXXX	Dinophyta_XXXX_sp.
sq4989	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_gracilis
sq4990	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcales-Clade-A	Prasinococcus	Prasinococcus_capsulatus
sq4991	Eukaryota	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
sq4992	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-1	Dino-Group-II-Clade-1_X	Dino-Group-II-Clade-1_X_sp.
sq4993	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_gelidus
sq4994	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_gelidus
sq4995	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
sq4996	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Isochrysidales	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_oceanica
sq4997	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-III	Dino-Group-III_X	Dino-Group-III_XX	Dino-Group-III_XX_sp.
sq4998	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_sp.
sq4999	Eukaryota	Alveolata	Ciliophora	Spirotrichea	Tintinnida	TIN_05	Tintinnopsis_05	NA
sq5000	Eukaryota	Rhizaria	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Protaspa-lineage	Protaspa-lineage_X	Protaspa-lineage_X_sp.
sq5001	Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	Apostomatia	Pseudocolliniidae	Pseudocolliniidae_X	Pseudocolliniidae_X_sp.
sq5002	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-1	Dino-Group-I-Clade-1_X	Dino-Group-I-Clade-1_X_sp.
sq5003	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	Gymnodinium_sp.
sq5004	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
sq5005	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-4	Dino-Group-I-Clade-4_X	Dino-Group-I-Clade-4_X_sp.
sq5006	Eukaryota	Opisthokonta	Fungi	Ascomycota	Saccharomycotina	Saccharomycetales	Saccharomyces	Saccharomyces_cerevisiae
sq5007	Eukaryota	Rhizaria	Radiolaria	RAD-B	RAD-B_X	RAD-B-Group-IV	RAD-B-Group-IV_X	RAD-B-Group-IV_X_sp.
sq5008	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
sq5009	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Suessiaceae	Protodinium	Protodinium_simplex
sq5010	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-1	Dino-Group-II-Clade-1_X	Dino-Group-II-Clade-1_X_sp.
sq5011	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-1	Dino-Group-II-Clade-1_X	Dino-Group-II-Clade-1_X_sp.
sq5012	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastigaceae-B	Dolichomastigaceae-B_sp.
sq5013	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-4	Dino-Group-II-Clade-4_X	Dino-Group-II-Clade-4_X_sp.
sq5014	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Calanus	Calanus_helgolandicus
sq5015	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastigaceae-A	Dolichomastigaceae-A_sp.
sq5016	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadales_X	Plagioselmis	Plagioselmis_prolonga
sq5017	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
sq5018	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	NA
sq5019	Eukaryota	Alveolata	Dinoflagellata	Dinophyta_X	Dinophyta_XX	Dinophyta_XXX	Dinophyta_XXXX	Dinophyta_XXXX_sp.
sq5020	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II_X	Dino-Group-II_XX	Dino-Group-II_XX_sp.
sq5021	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-1	Dino-Group-II-Clade-1_X	Dino-Group-II-Clade-1_X_sp.
sq5022	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-1	Dino-Group-II-Clade-1_X	Dino-Group-II-Clade-1_X_sp.
sq5023	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-12	Dino-Group-II-Clade-12_X	Dino-Group-II-Clade-12_X_sp.
sq5024	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-1	Dino-Group-II-Clade-1_X	Dino-Group-II-Clade-1_X_sp.
sq5025	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-3	Dino-Group-II-Clade-3_X	Dino-Group-II-Clade-3_X_sp.
sq5026	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	NA	NA
sq5027	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-III	Dino-Group-III_X	Dino-Group-III_XX	Dino-Group-III_XX_sp.
sq5028	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcales-Clade-A	Prasinococcus	Prasinococcus_capsulatus
sq5029	Eukaryota	Rhizaria	Cercozoa	Filosa-Thecofilosea	Filosa-Thecofilosea_X	Filosa-Thecofilosea_XX	Filosa-Thecofilosea_XXX	Filosa-Thecofilosea_XXX_sp.
