1_clip	10_clip	11_clip	12_clip	13_clip	14_clip	15_clip	16_clip	17_clip	18_clip	19_clip	2_clip	20_clip	21_clip	22_clip	23_clip	24_clip	25_clip	26_clip	27_clip	28_clip	29_clip	3_clip	30_clip	31_clip	32_clip	33_clip	34_clip	35_clip	36_clip	37_clip	38_clip	39_clip	4_clip	40_clip	41_clip	42_clip	43_clip	44_clip	45_clip	46_clip	47_clip	48_clip	49_clip	5_clip	50_clip	51_clip	52_clip	53_clip	54_clip	55_clip	56_clip	57_clip	58_clip	59_clip	6_clip	60_clip	61_clip	62_clip	63_clip	64_clip	65_clip	66_clip	67_clip	68_clip	69_clip	7_clip	70_clip	71_clip	72_clip	73_clip	74_clip	75_clip	76_clip	77_clip	78_clip	79_clip	8_clip	80_clip	81_clip	82_clip	83_clip	84_clip	85_clip	86_clip	87_clip	88_clip	89_clip	9_clip	90_clip	91_clip	92_clip	93_clip	94_clip	95_clip	96_clip
sq23	104	972	55	215	1333	675	244	739	211	1427	549	1211	1147	593	365	147	515	3595	144	213	785	79	1887	71	101	71	4	1352	496	4	790	1968	799	987	611	381	540	511	388	2029	1393	282	627	1157	145	51	335	158	346	3153	22	55	647	6	572	1499	73	622	335	762	463	96	367	362	356	176	98	14	44	267	378	359	1130	311	17	429	1	69	359	667	69	367	449	166	710	256	719	2137	255	1192	2044	145	386	929	58	454
sq24	57	0	362	232	0	399	0	0	1	1	18	17	2429	7	28	0	97	1866	281	35	3676	338	1	437	1053	800	195	2	0	1	3	1	2	66	1	81	17	63	566	529	1468	1817	3658	339	206	5	1	26	1953	1388	1224	872	523	6	0	1074	0	0	2	0	0	2	10	459	488	26	1829	4	149	535	2537	2862	1091	1908	358	778	56	1727	2	3071	0	1	1	0	0	0	297	58	233	114	535	120	3843	1750	477	2467
sq25	10	1	2	30	162	174	389	1180	236	289	2	415	1439	49	5249	1694	1114	450	0	25	6333	9	3959	81	47	1	0	1	3	1	26	3386	1269	490	221	1211	231	1063	258	1	2366	562	1644	3458	60	1	89	1	0	0	0	2	4	1	0	6	1	0	268	1190	532	384	253	45	28	0	2	0	2	495	317	367	191	347	336	0	38	9	71	504	31	1	0	1	12	0	2	5655	0	2708	20	7	2	60	2	10
sq26	20	2	768	7	1383	231	1097	324	1	0	843	186	160	169	2581	313	680	24	1117	470	468	43	351	65	9	108	1184	1929	1009	295	881	2761	379	265	297	101	77	169	450	176	196	154	84	225	1	1886	1006	600	177	726	598	256	427	957	273	75	323	1522	2416	1351	958	885	55	188	213	179	1162	883	450	216	64	114	143	225	129	454	232	446	1264	140	1265	1211	466	1072	74	889	29	109	24	323	405	266	779	106	263	97
sq27	0	0	0	0	1	0	1	0	0	0	2	0	83	3	2	0	0	1	0	188	5	0	0	28	1	10	6	205	0	362	0	110	167	0	0	369	0	17	5	4	5	1011	6	242	1	163	272	18	18	917	25	139	68	166	188	11	3456	1435	0	1	331	390	29	3	20	16	1	31	0	68	14	42	4	4	87	639	0	1	122	47	2358	20684	209	2653	6746	349	40	324	1	464	11	419	76	835	325	124
sq28	188	5566	568	212	404	620	113	1829	613	981	773	2643	754	3709	5133	811	35	0	48	0	3	0	321	1	1	1	1	2	82	0	95	0	130	1813	10	672	301	140	24	47	4	3	1	289	171	0	764	0	0	0	20	0	743	325	196	846	0	0	132	28	144	536	875	307	362	12	690	15	7	0	6	15	1	8	22	33	263	268	0	1	0	235	605	26	78	199	1689	406	4757	1794	392	254	17	14	28	66
sq29	0	2	2	1	5	0	1	1	2	2	2	0	1802	0	196	0	4	64	2	0	10821	244	0	375	202	27	19	3	0	1	3	8	2	1	1	3	11	54	495	93	4414	8216	5281	32	1	3	1	4	67	1	21	33	79	2	1	0	0	2	6	1	4	1	0	7	44	14	1	3	4	197	2088	1877	724	217	16	213	110	29	1	2359	0	79	0	2	722	1	4	46	3	66	390	16	79	3123	298	607
sq30	315	194	2	328	0	204	1	130	11	33	330	0	775	15	49	632	6088	1855	24	1	1636	565	1	843	1120	801	239	1	7	3	1	9	7	324	3	21	4	77	3	1492	613	78	129	535	195	4	729	412	10	407	5	924	716	258	192	774	5	3	125	9	5	366	482	729	352	184	346	847	1822	824	535	1745	883	3256	274	4	1	237	2	568	4	1	2	1	259	641	381	10	204	12	196	251	2486	412	525	1234
sq31	28	0	90	54	2	1	2	0	0	0	2	0	312	45	358	38	62	353	52	55	1255	9827	0	6633	1977	962	293	4	0	1	3	1	2	0	4	443	72	256	586	544	1002	832	1399	347	3	2	1	12	0	1170	279	392	1024	2	0	115	0	1	1	0	64	1	77	352	500	15	57	27	31	46	286	351	5811	1625	345	163	81	106	49	305	57	0	1	0	2	0	35	547	244	338	557	322	425	221	52	258
sq32	81	484	359	326	1	477	1858	1479	1547	3158	48	3274	409	104	75	73	228	1	0	2	15	0	947	10	1	0	0	2	0	0	2	2387	303	1	198	790	22	0	0	10	0	0	0	26	169	0	977	0	238	1	282	3	45	1611	843	758	1	215	1	414	502	1060	143	0	16	0	455	10	0	52	1	1	6	1	0	1325	205	43	345	45	569	207	8446	0	3	689	1539	92	2951	137	69	269	174	4	18	55
